Loaded project: 白色孤岛
Trial entry: Start 3,3 -> 试炼间 -> A1 6,11
Auto features: pickup=on, battle=off
Goal: win event; topK=1; maxExpansions=3000
Perf live: {"expandedPerSec":22.84,"generatedPerSec":88.99,"applyActionMsPerAction":0.457,"enumerateActionsMsPerState":36.317,"stateKeyMsPerState":0.0005,"cloneMsPerAction":0.0131,"sortMsPerLoop":0.0976,"rssMb":159.4,"heapUsedMb":26.8,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":22.38,"generatedPerSec":86.43,"applyActionMsPerAction":0.4276,"enumerateActionsMsPerState":38.3452,"stateKeyMsPerState":0.0004,"cloneMsPerAction":0.0144,"sortMsPerLoop":0.1015,"rssMb":158.9,"heapUsedMb":58.1,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":23.48,"generatedPerSec":91.67,"applyActionMsPerAction":0.4097,"enumerateActionsMsPerState":36.7319,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0145,"sortMsPerLoop":0.0972,"rssMb":157.6,"heapUsedMb":27.2,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":26.57,"generatedPerSec":102.24,"applyActionMsPerAction":0.4064,"enumerateActionsMsPerState":32.5613,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0147,"sortMsPerLoop":0.0844,"rssMb":157.5,"heapUsedMb":46.2,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":26.64,"generatedPerSec":102.06,"applyActionMsPerAction":0.4074,"enumerateActionsMsPerState":32.4389,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0148,"sortMsPerLoop":0.0759,"rssMb":159.4,"heapUsedMb":16.9,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":26.83,"generatedPerSec":101.59,"applyActionMsPerAction":0.4116,"enumerateActionsMsPerState":32.251,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0147,"sortMsPerLoop":0.0699,"rssMb":161.6,"heapUsedMb":52.1,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":26.2,"generatedPerSec":99.09,"applyActionMsPerAction":0.4111,"enumerateActionsMsPerState":32.9901,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0146,"sortMsPerLoop":0.0704,"rssMb":164.1,"heapUsedMb":91,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":26.16,"generatedPerSec":99.15,"applyActionMsPerAction":0.4094,"enumerateActionsMsPerState":33.0918,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0146,"sortMsPerLoop":0.0743,"rssMb":171.8,"heapUsedMb":83.6,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":26.93,"generatedPerSec":102.16,"applyActionMsPerAction":0.4061,"enumerateActionsMsPerState":32.1543,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0147,"sortMsPerLoop":0.0767,"rssMb":176.5,"heapUsedMb":85.4,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":27.11,"generatedPerSec":102.88,"applyActionMsPerAction":0.402,"enumerateActionsMsPerState":31.9613,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0148,"sortMsPerLoop":0.0749,"rssMb":176.3,"heapUsedMb":52.3,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":26.93,"generatedPerSec":101.24,"applyActionMsPerAction":0.4109,"enumerateActionsMsPerState":32.1249,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0148,"sortMsPerLoop":0.0753,"rssMb":181.1,"heapUsedMb":82.1,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":26.5,"generatedPerSec":98.82,"applyActionMsPerAction":0.4181,"enumerateActionsMsPerState":32.6102,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0149,"sortMsPerLoop":0.0747,"rssMb":186.4,"heapUsedMb":61.7,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":26.75,"generatedPerSec":99.03,"applyActionMsPerAction":0.4197,"enumerateActionsMsPerState":32.2611,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0149,"sortMsPerLoop":0.0736,"rssMb":190.4,"heapUsedMb":43.9,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":26.58,"generatedPerSec":98.89,"applyActionMsPerAction":0.4176,"enumerateActionsMsPerState":32.498,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0149,"sortMsPerLoop":0.0757,"rssMb":194,"heapUsedMb":96.5,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":26.93,"generatedPerSec":100.01,"applyActionMsPerAction":0.415,"enumerateActionsMsPerState":32.0849,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.015,"sortMsPerLoop":0.0751,"rssMb":194,"heapUsedMb":57.3,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":26.91,"generatedPerSec":100.25,"applyActionMsPerAction":0.4159,"enumerateActionsMsPerState":32.1363,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.015,"sortMsPerLoop":0.0745,"rssMb":199.7,"heapUsedMb":105.2,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":26.89,"generatedPerSec":100.58,"applyActionMsPerAction":0.4188,"enumerateActionsMsPerState":32.163,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.015,"sortMsPerLoop":0.0745,"rssMb":206.9,"heapUsedMb":84.2,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":27.04,"generatedPerSec":101.48,"applyActionMsPerAction":0.4225,"enumerateActionsMsPerState":31.8499,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.015,"sortMsPerLoop":0.0777,"rssMb":309.7,"heapUsedMb":50.2,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":26.71,"generatedPerSec":102.01,"applyActionMsPerAction":0.4236,"enumerateActionsMsPerState":32.1301,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.015,"sortMsPerLoop":0.0819,"rssMb":310.7,"heapUsedMb":94.9,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":26.15,"generatedPerSec":99.99,"applyActionMsPerAction":0.4249,"enumerateActionsMsPerState":32.526,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0149,"sortMsPerLoop":0.0943,"rssMb":312.4,"heapUsedMb":56.6,"eventLoopUtilization":0}
