Loaded project: 白色孤岛
Trial entry: Start 3,3 -> 试炼间 -> A1 6,11
Auto features: pickup=on, battle=on
Goal: win event; topK=1; maxExpansions=2000
Perf live: {"expandedPerSec":2.34,"generatedPerSec":19.06,"applyActionMsPerAction":1.3713,"enumerateActionsMsPerState":62.9412,"stateKeyMsPerState":0.0007,"cloneMsPerAction":0.0036,"sortMsPerLoop":0,"rssMb":147.5,"heapUsedMb":14.5,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":1.89,"generatedPerSec":20.09,"applyActionMsPerAction":1.1402,"enumerateActionsMsPerState":89.3173,"stateKeyMsPerState":0.0006,"cloneMsPerAction":0.0037,"sortMsPerLoop":0,"rssMb":149.3,"heapUsedMb":16.5,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":1.99,"generatedPerSec":21.68,"applyActionMsPerAction":1.1907,"enumerateActionsMsPerState":107.2355,"stateKeyMsPerState":0.0006,"cloneMsPerAction":0.0037,"sortMsPerLoop":0.2031,"rssMb":146.4,"heapUsedMb":20.2,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.26,"generatedPerSec":22.68,"applyActionMsPerAction":1.1817,"enumerateActionsMsPerState":114.3322,"stateKeyMsPerState":0.0005,"cloneMsPerAction":0.0038,"sortMsPerLoop":0.2031,"rssMb":147.9,"heapUsedMb":30.8,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.34,"generatedPerSec":22.87,"applyActionMsPerAction":1.1092,"enumerateActionsMsPerState":117.1546,"stateKeyMsPerState":0.0005,"cloneMsPerAction":0.004,"sortMsPerLoop":0.2031,"rssMb":147.4,"heapUsedMb":23.7,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.5,"generatedPerSec":23.57,"applyActionMsPerAction":1.0743,"enumerateActionsMsPerState":121.1614,"stateKeyMsPerState":0.0005,"cloneMsPerAction":0.004,"sortMsPerLoop":0.1583,"rssMb":148.1,"heapUsedMb":29.9,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.44,"generatedPerSec":23.52,"applyActionMsPerAction":1.0337,"enumerateActionsMsPerState":123.632,"stateKeyMsPerState":0.0004,"cloneMsPerAction":0.0041,"sortMsPerLoop":0.1583,"rssMb":148.5,"heapUsedMb":20.8,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.48,"generatedPerSec":23.91,"applyActionMsPerAction":1.0178,"enumerateActionsMsPerState":126.5987,"stateKeyMsPerState":0.0005,"cloneMsPerAction":0.0041,"sortMsPerLoop":0.1432,"rssMb":145.9,"heapUsedMb":26.6,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.5,"generatedPerSec":24.1,"applyActionMsPerAction":1.0048,"enumerateActionsMsPerState":129.3555,"stateKeyMsPerState":0.0004,"cloneMsPerAction":0.0041,"sortMsPerLoop":0.1432,"rssMb":146.9,"heapUsedMb":20.4,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.49,"generatedPerSec":24.07,"applyActionMsPerAction":1.0023,"enumerateActionsMsPerState":129.6213,"stateKeyMsPerState":0.0004,"cloneMsPerAction":0.0041,"sortMsPerLoop":0.1352,"rssMb":147.1,"heapUsedMb":17.5,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.47,"generatedPerSec":23.94,"applyActionMsPerAction":1.0049,"enumerateActionsMsPerState":130.3589,"stateKeyMsPerState":0.0004,"cloneMsPerAction":0.0041,"sortMsPerLoop":0.1352,"rssMb":148,"heapUsedMb":26.7,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.5,"generatedPerSec":23.97,"applyActionMsPerAction":0.9904,"enumerateActionsMsPerState":130.8111,"stateKeyMsPerState":0.0004,"cloneMsPerAction":0.0041,"sortMsPerLoop":0.1445,"rssMb":147.1,"heapUsedMb":43.1,"eventLoopUtilization":0}
